Timestamp,OC-02-S1_temperature,OC-02-S1_contact,OC-02-S1_tamper,OC-01-HWA_temperature,OC-01-HWA_tamper,OC-00-H1_tamper,OC-00-H1_contact_x,OC-00-H1_temperature,A6-00-HW_humidity,A6-00-HW_temperature,A6-00-HW_motion,A6-00-HW_illuminance,A6-00-HW_tamper,A6-02-SL_humidity,A6-02-SL_temperature,A6-02-SL_illuminance,A6-02-SL_motion,A6-02-B4_humidity,A6-02-B4_temperature,A6-02-B4_illuminance,A6-02-B4_motion,A6-01-B3_humidity,A6-01-B3_temperature,A6-01-B3_illuminance,A6-01-B3_motion,A6-01-B1_humidity_x,A6-01-B1_temperature_x,A6-01-B1_illuminance_x,A6-01-B1_motion_x,A6-00-K1_humidity_x,A6-00-K1_temperature_x,A6-00-K1_motion_x,A6-00-K1_illuminance_x,A6-00-K1_tamper_x,A6-00-L1_humidity,A6-00-L1_temperature,A6-00-L1_motion,A6-00-L1_illuminance,A6-00-L1_ultravioletIndex,A6-01-B2_humidity,A6-01-B2_temperature,A6-01-B2_illuminance,A6-01-B2_motion,A6-01-B2_tamper,S3-00-L1_Mass Concentration PM1.0,S3-00-L1_Mass Concentration PM2.5,S3-00-L1_Mass Concentration PM4.0,S3-00-L1_Mass Concentration PM10.0,S3-00-L1_Number Concentration NC0.5,S3-00-L1_Number Concentration NC1.0,S3-00-L1_Number Concentration NC2.5,S3-00-L1_Number Concentration NC4.0,S3-00-L1_Number Concentration NC10.0,S3-00-L1_Typical Particle Size,OC-01-B3_temperature,OC-01-B3_tamper,OC-01-B3_contact,OC-01-B3A_temperature,OC-00-L1_temperature,OC-00-L1_tamper,A6-01-H2_motion,A6-01-H2_humidity,A6-01-H2_temperature,A6-01-H2_illuminance,A6-02-H3_humidity,A6-02-H3_temperature,A6-02-H3_illuminance,A6-02-H3_motion,A6-02-H3_tamper,S3-01-B1_Mass Concentration PM1.0,S3-01-B1_Mass Concentration PM10.0,S3-01-B1_Mass Concentration PM2.5,S3-01-B1_Mass Concentration PM4.0,S3-01-B1_Number Concentration NC0.5,S3-01-B1_Number Concentration NC1.0,S3-01-B1_Number Concentration NC10.0,S3-01-B1_Number Concentration NC2.5,S3-01-B1_Number Concentration NC4.0,S3-01-B1_Typical Particle Size,OC-00-H1_contact_y,OC-00-U1_contact,OC-01-W1_contact,A6-00-K1_humidity_y,A6-00-K1_illuminance_y,A6-00-K1_motion_y,A6-00-K1_temperature_y,A6-00-K1_tamper_y,A6-01-B1_humidity_y,A6-01-B1_illuminance_y,A6-01-B1_motion_y,A6-01-B1_temperature_y,OC-00-L1_contact,OC-01-HB_contact,OC-01-BD_contact
2022-10-18 00:07:22,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:23,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:24,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:25,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:26,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:27,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:28,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:29,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:30,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:31,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:32,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:33,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:34,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:35,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:36,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:37,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:38,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:39,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:40,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:41,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:42,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:43,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:44,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:45,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:46,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:47,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:48,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:49,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:50,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:51,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:52,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
2022-10-18 00:07:53,17.2,1.0,1.0,20.5,1.0,0.0,0.0,20.4,54.0,21.7,0.0,0.0,0.0,65.0,12.2,0.0,0.0,44.0,23.0,0.0,0.0,42.0,22.8,0.0,0.0,46.0,21.7,0.0,0.0,46.0,21.9,0.0,0.0,0.0,49.0,21.6,0.0,27.0,0.0,52.0,19.8,0.0,0.0,0.0,2.35,2.49,2.49,2.49,16.09,18.72,18.79,18.79,18.8,0.55,22.2,1.0,0.0,20.9,20.2,0.0,1.0,47.0,23.0,0.0,48.0,22.9,0.0,0.0,0.0,3.41,3.61,3.61,3.61,23.29,27.15,27.26,27.25,27.25,0.54,0.0,1.0,0.0,53.0,0.0,0.0,20.6,0.0,52.0,0.0,0.0,20.4,1.0,1.0,1.0
